timestamp,open,high,low,close,volume
2024-09-09,6.19e-06,6.45e-06,6.14e-06,6.23e-06,148864.0
2024-09-10,6.23e-06,6.3e-06,6.21e-06,6.22e-06,24050.0
2024-09-11,6.2e-06,6.21e-06,6.12e-06,6.17e-06,16096.0
2024-09-12,6.17e-06,6.27e-06,6.15e-06,6.27e-06,18340.0
2024-09-13,6.22e-06,6.26e-06,6.13e-06,6.13e-06,23206.0
2024-09-14,6.1e-06,6.14e-06,6.01e-06,6.06e-06,12606.0
2024-09-15,6.09e-06,6.63e-06,5.94e-06,6.36e-06,280127.0
